Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),"VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),CHOVEU
2023-08-29,0.6000000000000001,1010.2458333333334,1010.4583333333334,1010.0208333333334,26.6125,27.020833333333332,26.195833333333336,5.970833333333334,3.0208333333333335,23.479166666666668,23.162499999999998,1
2023-09-10,0.6000000000000001,1010.2416666666667,1010.4916666666667,1010.0,25.804166666666664,26.170833333333334,25.416666666666668,8.645833333333334,4.3,21.991666666666664,21.666666666666668,1
2023-09-15,0.6000000000000001,1008.8625000000001,1009.1416666666668,1008.6166666666667,25.587500000000002,26.025000000000002,25.1375,7.7375,3.6833333333333336,22.233333333333334,21.912499999999998,1
2023-02-10,0.6000000000000001,1005.6875,1005.9083333333333,1005.4541666666668,28.116666666666664,28.608333333333334,27.59583333333333,9.095833333333333,4.691666666666666,23.629166666666666,23.21666666666667,1
2023-05-18,0.6000000000000001,1007.875,1008.0958333333333,1007.6083333333332,26.420833333333334,26.879166666666666,25.991666666666664,7.345833333333334,3.4875000000000003,23.616666666666664,23.25,1
2023-08-18,0.6,1007.6666666666666,1007.9125,1007.5,24.945833333333336,25.462500000000002,24.412499999999998,7.3374999999999995,3.454166666666667,22.0,21.599999999999998,1
2023-09-21,0.6,1007.6166666666667,1007.8708333333334,1007.3791666666666,25.854166666666668,26.349999999999998,25.27916666666667,9.320833333333333,4.625,22.087500000000002,21.683333333333334,1
2023-04-11,0.6,1006.5458333333332,1006.8291666666668,1006.3041666666667,27.629166666666666,28.0625,27.224999999999998,6.7,3.3208333333333333,23.520833333333332,23.083333333333332,1
2023-02-13,0.4,1005.2624999999999,1005.5083333333333,1005.0208333333334,28.495833333333334,28.941666666666666,28.0125,9.670833333333333,4.9750000000000005,24.099999999999998,23.645833333333332,1
2023-06-08,0.4,1009.4666666666667,1009.6583333333333,1009.3000000000001,26.825,27.275000000000002,26.474999999999998,7.5249999999999995,3.6999999999999997,23.395833333333332,23.125,1
2023-08-11,0.4,1009.3833333333333,1009.5875,1009.1916666666666,25.145833333333332,25.599999999999998,24.675,8.3125,3.8708333333333336,21.416666666666668,21.037499999999998,1
2023-03-25,0.4,1006.125,1006.35,1005.8625000000001,27.070833333333336,27.545833333333334,26.59583333333333,4.7250000000000005,1.8583333333333334,24.133333333333336,23.629166666666666,1
2023-08-13,0.4,1008.1583333333333,1008.3874999999999,1007.9499999999999,24.8625,25.370833333333334,24.495833333333334,9.520833333333334,4.758333333333334,21.379166666666666,21.091666666666665,1
2023-07-20,0.4,1012.3666666666667,1012.6208333333334,1012.1791666666667,25.354166666666668,25.791666666666668,24.95,9.875,4.6625000000000005,20.658333333333335,20.208333333333332,1
2023-04-28,0.4,1007.1458333333334,1007.3458333333333,1006.8625000000001,27.766666666666666,28.195833333333336,27.358333333333334,5.625,2.85,24.6125,24.22083333333333,1
2023-04-13,0.4,1004.4681818181817,1004.7681818181819,1004.2318181818181,28.05454545454546,28.61818181818182,27.60909090909091,9.1,4.131818181818182,23.70909090909091,23.204545454545453,1
2023-07-13,0.4,1007.2541666666666,1007.4083333333333,1007.0416666666666,25.933333333333334,26.379166666666666,25.604166666666668,6.508333333333333,3.3125,22.804166666666664,22.508333333333336,1
2023-02-23,0.4,1006.5791666666668,1006.8458333333333,1006.3041666666667,27.912499999999998,28.3625,27.504166666666666,7.341666666666666,3.4791666666666665,24.5625,24.150000000000002,1
2023-09-06,0.4,1009.7458333333334,1009.9708333333333,1009.5333333333333,26.52916666666667,27.15416666666667,26.016666666666666,9.383333333333333,4.745833333333334,21.520833333333332,21.095833333333335,1
2023-01-24,0.2,1004.9565217391304,1005.2217391304347,1004.7695652173913,27.895652173913046,28.37391304347826,27.41304347826087,7.721739130434782,3.643478260869565,22.63478260869565,22.204347826086956,1
2023-06-13,0.2,1008.9541666666668,1009.2041666666668,1008.7458333333334,26.304166666666664,26.71666666666667,25.97083333333333,7.783333333333334,3.9166666666666665,22.6875,22.254166666666666,1
2023-01-21,0.2,1006.65,1006.9041666666667,1006.4708333333333,27.833333333333332,28.2375,27.412499999999998,7.033333333333334,3.3833333333333333,23.349999999999998,22.900000000000002,1
2023-01-23,0.2,1005.7666666666668,1005.9833333333332,1005.5333333333333,28.079166666666666,28.5125,27.712500000000002,7.2,3.533333333333333,23.925,23.504166666666666,1
2023-08-17,0.2,1008.8083333333334,1009.0416666666666,1008.6291666666666,25.183333333333334,25.650000000000002,24.7375,8.420833333333333,4.091666666666667,21.7,21.349999999999998,1
2023-08-15,0.2,1008.4250000000001,1008.6666666666666,1008.1791666666667,24.849999999999998,25.25,24.400000000000002,9.708333333333334,4.7250000000000005,20.854166666666668,20.529166666666665,1
2023-07-28,0.2,1010.6458333333334,1010.8708333333334,1010.4166666666666,26.52916666666667,26.895833333333332,26.224999999999998,9.637500000000001,4.770833333333333,22.508333333333336,22.183333333333334,1
2023-10-23,0.2,1007.1999999999999,1008.1,1007.1999999999999,27.866666666666664,28.5,27.2,10.333333333333334,5.233333333333333,22.7,22.266666666666666,1
2023-02-05,0.2,1007.3333333333334,1007.6,1007.1125000000001,28.141666666666666,28.558333333333334,27.625,6.033333333333334,2.9499999999999997,23.608333333333334,23.179166666666664,1
2023-07-12,0.2,1006.6666666666666,1006.8708333333334,1006.4708333333333,25.983333333333334,26.47083333333333,25.59583333333333,8.9,4.354166666666667,22.233333333333334,21.84583333333333,1
2023-05-25,0.2,1006.4166666666666,1006.6291666666667,1006.2041666666668,26.90416666666667,27.291666666666668,26.433333333333334,8.054166666666667,3.7458333333333336,23.479166666666668,23.1875,1
2023-03-24,0.2,1005.5791666666668,1005.8291666666668,1005.3208333333333,27.15416666666667,27.558333333333334,26.712500000000002,6.154166666666666,2.858333333333333,23.483333333333334,22.979166666666668,1
2023-05-22,0.2,1005.8833333333333,1006.1,1005.6708333333332,27.241666666666664,27.7,26.729166666666668,8.091666666666667,3.9583333333333335,23.849999999999998,23.525000000000002,1
